competitor_deity,title,slug,inferred_form,verse_units,parity_status,notes,competitor_url
parvati,Annapurna Stotram Shankaracharya,annapurna-stotram-shankaracharya,stotram,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/annapurna-stotram-shankaracharya
vishnu,Apah Suktam,apah-suktam,suktam,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/apah-suktam
durga,Aparajita Stotram,aparajita-stotram,stotram,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/aparajita-stotram
shiva,Ardhanareeshwara Stotram,ardhanareeshwara-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ardhanareeshwara-stotram
durga,Argala Stotram,argala-stotram,stotram,24,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/argala-stotram
vishnu,Arogya Suktam,arogya-suktam,suktam,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/arogya-suktam
vishnu,Ashta Dikpalaka Stotram,ashta-dikpalaka-stotram,stotram,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ashta-dikpalaka-stotram
lakshmi,Ashta Lakshmi Dhyanam,ashta-lakshmi-dhyanam,dhyanam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ashta-lakshmi-dhyanam
lakshmi,Ashta Lakshmi Kavacham,ashta-lakshmi-kavacham,kavacham,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ashta-lakshmi-kavacham
lakshmi,Ashtalakshmi Stotram,ashtalakshmi-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ashtalakshmi-stotram
vishnu,Ashtavakra Gita Key Verses,ashtavakra-gita-key-verses,gita,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ashtavakra-gita-key-verses
ganesha,Ashtavinayak Stotram,ashtavinayak-stotram,stotram,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ashtavinayak-stotram
vishnu,Ashwattha Stotram (Sacred Peepal Tree Prayer),ashwattha-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ashwattha-stotram
surya,Ashwini Kumara Stotram,ashwini-kumara-stotram,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ashwini-kumara-stotram
shiva,Atma Bodha,atma-bodha,other,40,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/atma-bodha
dattatreya,Avadhuta Gita - Key Verses,avadhuta-gita-key-verses,gita,15,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/avadhuta-gita-key-verses
dattatreya,Avadhuta Stotram,avadhuta-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/avadhuta-stotram
rama,Ayodhya Stotram,ayodhya-stotram,stotram,9,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ayodhya-stotram
vishnu,Ayushya Suktam,ayushya-suktam,suktam,9,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ayushya-suktam
vishnu,Badrinath Aarti,badrinath-aarti,aarti,9,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/badrinath-aarti
vishnu,Badrinath Stotram,badrinath-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/badrinath-stotram
kali,Baglamukhi Kavacham,baglamukhi-kavacham,kavacham,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/baglamukhi-kavacham
kali,Baglamukhi Stotram,baglamukhi-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/baglamukhi-stotram
hanuman,Bajrang Baan,bajrang-baan,stotram,13,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bajrang-baan
krishna,Bala Mukundashtakam,bala-mukundashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/bala-mukundashtakam
krishna,Balakrishna Ashtakam,balakrishna-ashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/balakrishna-ashtakam
krishna,Banke Bihari Aarti,banke-bihari-aarti,aarti,4,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/banke-bihari-aarti
krishna,Bhagavad Gita Chapter 1 - Arjuna Vishada Yoga,bhagavad-gita-chapter-1,gita,47,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhagavad-gita-chapter-1
krishna,Bhagavad Gita Chapter 10 - Vibhuti Yoga,bhagavad-gita-chapter-10,gita,42,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhagavad-gita-chapter-10
krishna,Bhagavad Gita Chapter 11 - Vishwarupa Darshana Yoga,bhagavad-gita-chapter-11,gita,55,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhagavad-gita-chapter-11
krishna,Bhagavad Gita Chapter 12 - Bhakti Yoga,bhagavad-gita-chapter-12,gita,20,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhagavad-gita-chapter-12
krishna,Bhagavad Gita Chapter 13 - Kshetra Kshetrajna Vibhaga Yoga,bhagavad-gita-chapter-13,gita,35,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhagavad-gita-chapter-13
krishna,Bhagavad Gita Chapter 14 - Gunatraya Vibhaga Yoga,bhagavad-gita-chapter-14,gita,27,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhagavad-gita-chapter-14
krishna,Bhagavad Gita Chapter 15 - Purushottama Yoga,bhagavad-gita-chapter-15,gita,20,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhagavad-gita-chapter-15
krishna,Bhagavad Gita Chapter 16 - Daivasura Sampad Vibhaga Yoga,bhagavad-gita-chapter-16,gita,24,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhagavad-gita-chapter-16
krishna,Bhagavad Gita Chapter 17 - Shraddhatraya Vibhaga Yoga,bhagavad-gita-chapter-17,gita,28,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhagavad-gita-chapter-17
krishna,Bhagavad Gita Chapter 18 - Moksha Sannyasa Yoga,bhagavad-gita-chapter-18,gita,78,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhagavad-gita-chapter-18
krishna,Bhagavad Gita Chapter 2 - Sankhya Yoga,bhagavad-gita-chapter-2,gita,72,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhagavad-gita-chapter-2
krishna,Bhagavad Gita Chapter 3 - Karma Yoga,bhagavad-gita-chapter-3,gita,43,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhagavad-gita-chapter-3
krishna,Bhagavad Gita Chapter 4 - Jnana Karma Sannyasa Yoga,bhagavad-gita-chapter-4,gita,42,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhagavad-gita-chapter-4
krishna,Bhagavad Gita Chapter 5 - Karma Sannyasa Yoga,bhagavad-gita-chapter-5,gita,29,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhagavad-gita-chapter-5
krishna,Bhagavad Gita Chapter 6 - Dhyana Yoga,bhagavad-gita-chapter-6,dhyanam,47,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhagavad-gita-chapter-6
krishna,Bhagavad Gita Chapter 7 - Jnana Vijnana Yoga,bhagavad-gita-chapter-7,gita,30,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhagavad-gita-chapter-7
krishna,Bhagavad Gita Chapter 8 - Akshara Brahma Yoga,bhagavad-gita-chapter-8,gita,28,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhagavad-gita-chapter-8
krishna,Bhagavad Gita Chapter 9 - Raja Vidya Raja Guhya Yoga,bhagavad-gita-chapter-9,gita,34,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhagavad-gita-chapter-9
krishna,Bhagavad Gita Dhyana Shloka,bhagavad-gita-dhyana-shloka,dhyanam,9,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/bhagavad-gita-dhyana-shloka
krishna,Bhagavad Gita Dhyanam,bhagavad-gita-dhyanam,dhyanam,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/bhagavad-gita-dhyanam
krishna,Bhagavad Gita Mahatmya,bhagavad-gita-mahatmya,gita,20,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/bhagavad-gita-mahatmya
vishnu,Bhagya Suktam,bhagya-suktam,suktam,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/bhagya-suktam
krishna,Bhaja Govindam,bhaja-govindam,other,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/bhaja-govindam
shiva,Bhasma Jabala Upanishad Key Mantras,bhasma-jabala-upanishad-key-mantras,mantra,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/bhasma-jabala-upanishad-key-mantras
durga,Bhavani Ashtakam,bhavani-ashtakam,ashtakam,8,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhavani-ashtakam
narasimha,Bhaya Nivaran Stotram,bhaya-nivaran-stotram,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/bhaya-nivaran-stotram
shiva,Bhimashankar Stotram,bhimashankar-stotram,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/bhimashankar-stotram
krishna,Bhishma Stuti,bhishma-stuti,stuti,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/bhishma-stuti
vishnu,Bhojan Mantra (Meal Prayer),bhojan-mantra,mantra,7,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/bhojan-mantra
parvati,Bhuvaneshwari Stotram,bhuvaneshwari-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/bhuvaneshwari-stotram
durga,Bhuvaneswari Kavacham,bhuvaneswari-kavacham,kavacham,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/bhuvaneswari-kavacham
parvati,Bhuvaneswari Stotram,bhuvaneswari-stotram,stotram,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/bhuvaneswari-stotram
shiva,Bilvarchana Stotram,bilvarchana-stotram,ritual,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/bilvarchana-stotram
shiva,Bilvashtakam,bilvashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/bilvashtakam
vishnu,Brahma Stuti (Bhagavatam),brahma-stuti-bhagavatam,stuti,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/brahma-stuti-bhagavatam
durga,Brahmacharini Stotram,brahmacharini-stotram,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/brahmacharini-stotram
navagraha,Budh Kavacham,budh-kavacham,kavacham,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/budh-kavacham
navagraha,Budh Sahasranama Stotram,budh-sahasranama,sahasranama,23,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/budh-sahasranama
navagraha,Budh Stotra,budh-stotra,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/budh-stotra
navagraha,Budha Stotram,budha-stotram,stotram,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/budha-stotram
ganesha,Budhvar Vrat Katha (Wednesday Fasting Story),budhvar-vrat-katha,katha,16,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/budhvar-vrat-katha
shiva,Chamakam,chamakam,suktam,55,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chamakam
durga,Chamunda Stuti,chamunda-stuti,stuti,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chamunda-stuti
durga,Chandi Hridayam,chandi-hridayam,hridayam,15,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chandi-hridayam
durga,Chandi Kavacham,chandi-kavacham,kavacham,18,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chandi-kavacham
durga,Chandi Path Navarna Vidhi,chandi-path-navarna-vidhi,ritual,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chandi-path-navarna-vidhi
durga,Chandi Stotram,chandi-stotram,stotram,17,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chandi-stotram
shiva,Chandra Dosh Nivaran Stotram,chandra-dosh-nivaran-stotram,stotram,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chandra-dosh-nivaran-stotram
navagraha,Chandra Kavacham,chandra-kavacham,kavacham,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chandra-kavacham
navagraha,Chandra Sahasranama Stotram,chandra-sahasranama,sahasranama,23,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chandra-sahasranama
navagraha,Chandra Stotra,chandra-stotra,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chandra-stotra
navagraha,Chandra Stotram,chandra-stotram,stotram,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chandra-stotram
durga,Chandraghanta Stotram,chandraghanta-stotram,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chandraghanta-stotram
shiva,Chandrashekhar Ashtakam,chandrashekhar-ashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chandrashekhar-ashtakam
vishnu,Char Dham Stotram,chardham-stotram,stotram,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chardham-stotram
vishnu,Chatuh Shloki Bhagavatam,chatuh-shloki-bhagavatam,other,4,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chatuh-shloki-bhagavatam
surya,Chhath Puja Stotram,chhath-puja-stotram,ritual,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chhath-puja-stotram
surya,Chhath Puja Vidhi and Mantras,chhath-puja-vidhi,mantra,16,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chhath-puja-vidhi
surya,Chhath Puja Vrat Katha,chhath-puja-vrat-katha,katha,22,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chhath-puja-vrat-katha
kali,Chinnamasta Kavacham,chinnamasta-kavacham,kavacham,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chinnamasta-kavacham
kali,Chinnamasta Stotram,chinnamasta-stotram,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/chinnamasta-stotram
kali,Dakshina Kali Dhyanam,dakshina-kali-dhyanam,dhyanam,14,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dakshina-kali-dhyanam
kali,Dakshina Kali Stotram,dakshina-kali-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dakshina-kali-stotram
shiva,Dakshinamurthy Pancharatnam,dakshinamurthy-pancharatnam,pancharatnam,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dakshinamurthy-pancharatnam
shiva,Dakshinamurthy Stotram,dakshinamurthy-stotram,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dakshinamurthy-stotram
krishna,Damodarashtakam,damodarashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/damodarashtakam
shiva,Daridrya Dahana Shiva Stotram,daridrya-dahana-shiva-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/daridrya-dahana-shiva-stotram
durga,Dasha Mahavidya Stotram,dasha-mahavidya-stotram,stotram,15,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dasha-mahavidya-stotram
shiva,Dasha Shloki,dasha-shloki,other,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dasha-shloki
vishnu,Dashavatara Dhyanam,dashavatara-dhyanam,dhyanam,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dashavatara-dhyanam
vishnu,Dashavatara Stotram,dashavatara-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dashavatara-stotram
dattatreya,Datta Bavani,datta-bavani,other,52,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/datta-bavani
dattatreya,Datta Stuti,datta-stuti,stuti,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/datta-stuti
dattatreya,Dattatreya Aarti,dattatreya-aarti,aarti,4,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/dattatreya-aarti
dattatreya,Dattatreya Ashtakam,dattatreya-ashtakam,ashtakam,8,variant-review,"Title-level match exists, but composition or edition identity needs line-level comparison.",https://stotra.vastucart.in/stotra/dattatreya-ashtakam
dattatreya,Dattatreya Ashtottara Shatanamavali,dattatreya-ashtottara-shatanamavali,namavali,108,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dattatreya-ashtottara-shatanamavali
dattatreya,Dattatreya Chalisa,dattatreya-chalisa,chalisa,42,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/dattatreya-chalisa
dattatreya,Dattatreya Dhyanam,dattatreya-dhyanam,dhyanam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dattatreya-dhyanam
dattatreya,Dattatreya Dwadash Nama Stotram,dattatreya-dwadash-nama,namavali,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dattatreya-dwadash-nama
dattatreya,Dattatreya Gayatri,dattatreya-gayatri,mantra,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dattatreya-gayatri
dattatreya,Dattatreya Hridayam,dattatreya-hridayam,hridayam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dattatreya-hridayam
dattatreya,Dattatreya Kavacham,dattatreya-kavacham,kavacham,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dattatreya-kavacham
dattatreya,Dattatreya Mangalashtakam,dattatreya-mangalashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dattatreya-mangalashtakam
dattatreya,Dattatreya Pancharatnam,dattatreya-pancharatnam,pancharatnam,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dattatreya-pancharatnam
dattatreya,Dattatreya Sahasranama Stotram,dattatreya-sahasranama,sahasranama,20,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dattatreya-sahasranama
dattatreya,Dattatreya Stotram,dattatreya-stotram,stotram,16,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dattatreya-stotram
dattatreya,Dattatreya Upanishad Key Verses,dattatreya-upanishad-key-verses,upanishad,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dattatreya-upanishad-key-verses
vishnu,Dayashatakam - Key Verses,dayashatakam-key-verses,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dayashatakam-key-verses
lakshmi,Deepa Jyoti Stotram,deepa-jyoti-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/deepa-jyoti-stotram
vishnu,Dev Uthani Ekadashi Katha,dev-uthani-ekadashi-katha,katha,15,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dev-uthani-ekadashi-katha
krishna,Devaki Stuti,devaki-stuti,stuti,9,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/devaki-stuti
durga,Devi Aparadha Kshamapana Stotram,devi-aparadha-kshamapana-stotram,stotram,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/devi-aparadha-kshamapana-stotram
durga,Devi Atharvashirsha,devi-atharvashirsha,other,27,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/devi-atharvashirsha
durga,Devi Bhujanga Stotram,devi-bhujanga-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/devi-bhujanga-stotram
durga,Devi Chatushashti Upachara Puja Stotram,devi-chatushashti-upachara,ritual,21,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/devi-chatushashti-upachara
durga,Devi Hridayam,devi-hridayam,hridayam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/devi-hridayam
durga,Devi Kavacham,devi-kavacham,kavacham,28,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/devi-kavacham
durga,Devi Khadgamala Stotram,devi-khadgamala-stotram,stotram,9,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/devi-khadgamala-stotram
durga,Devi Mahatmya Siddha Kunjika Prayoga,devi-mahatmya-siddha-kunjika,other,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/devi-mahatmya-siddha-kunjika
